,ticker,lastrebaldate,assetclass,basisdate,costbasis,shares,allocation_target,close,value,allocation,correction,new_money_in,rebal_flag,final_shares_chg,new_shares,new_value,new_value_chg,final_allocation
0,HYG,2020-11-16,ETF,2018-11-16,85.00000000000001,3.14,0.05,87.23,273.90220000000005,0.0003029527682402284,0.04969704723175977,50.0,1,515.0,518.14,45197.3522,44923.450000000004,0.04994981818193298
1,IAU,2020-11-16,ETF,2018-11-16,18.0,549.871,0.1,16.55,9100.36505,0.010065566409813884,0.08993443359018612,100.0,1,4919.0,5468.871,90509.81505,81409.45,0.10002685080804095
2,IWM,2020-11-16,ETF,2018-11-16,157.0,151.578,0.1,220.69,33451.74882,0.03699970247590488,0.06300029752409513,100.0,1,258.0,409.578,90389.76882,56938.02,0.0998941818115167
3,QQQ,2020-11-16,ETF,2018-11-16,175.0,514.298,0.1,331.62,170551.50276,0.18864050704475158,-0.08864050704475157,100.0,1,-241.0,273.298,90631.08276,-79920.42,0.10016086972222503
4,SPY,2020-11-16,ETF,2018-11-16,260.00000000000006,1685.8899999999999,0.1,406.59,685466.0151,0.7581677942314563,-0.6581677942314563,100.0,1,-1463.0,222.89,90624.84509999999,-594841.1699999999,0.10015397617718941
5,XLF,2020-11-16,ETF,2018-11-16,27.0,151.121,0.1,34.84,5265.0556400000005,0.005823477069833056,0.09417652293016696,100.0,1,2446.0,2597.121,90483.69564,85218.64000000001,0.09999798496265368
6,XLI,,ETF,2021-04-07,99.3,0.0,0.1,99.3,0.0,0.0,0.1,100.0,1,911.0,911.0,90462.3,90462.3,0.099974339587961
7,EEM,,ETF,2021-04-07,53.57,0.0,0.1,53.57,0.0,0.0,0.1,100.0,1,1689.0,1689.0,90479.73,90479.73,0.09999360233873139
8,XLV,,ETF,2021-04-07,116.49,0.0,0.1,116.49,0.0,0.0,0.1,100.0,1,776.0,776.0,90396.23999999999,90396.23999999999,0.09990133343099636
9,TLT,,ETF,2021-04-07,136.88,0.0,0.1,136.88,0.0,0.0,0.1,100.0,1,661.0,661.0,90477.68,90477.68,0.09999133678284618
10,SHV,,ETF,2021-04-07,110.52,0.0,0.05,110.52,0.0,0.0,0.05,50.0,1,409.0,409.0,45202.68,45202.68,0.04995570619590628
